Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
B07,453014348,85.563719,27.8664709,358599.134,3083239.321,1491.76,102.2694792,129.4605671
B08,453013955,85.5632043,27.8667884,358548.869,3083275.089,1478.74,102.290544,129.8785764
B09,453005681,85.5626447,27.8672736,358494.4,3083329.498,1458.28,102.3173032,130.4245023
B10,453014079,85.5623056,27.8658015,358459.103,3083166.791,1422.7,102.1697106,129.7691319
B11,453012570,85.5615915,27.8669714,358390.307,3083297.227,1416.73,102.1799884,128.7133218
B12,453012552,85.5612545,27.8674624,358357.77,3083352.021,1405.42,102.1918403,128.8368171
B13,453013037,85.5606169,27.8686289,358296.509,3083481.998,1366.52,102.2047106,129.1652431
B14,453011951,85.5599251,27.8680947,358227.701,3083423.617,1359.3,102.2169792,129.364456
B15,453014192,85.5597704,27.8670599,358211.113,3083309.139,1345.76,102.2335764,129.4654977
B16,453011886,85.5591847,27.8674573,358153.968,3083353.851,1332.51,102.2500116,129.7744329
B17,453013033,85.5583939,27.867014,358075.524,3083305.65,1302.71,102.258669,128.2067245
B18,453005769,85.5580298,27.8664299,358038.914,3083241.357,1287.29,102.2669329,131.1583218
B19,453012297,85.5576124,27.8659294,357997.161,3083186.394,1274.6,102.1635069,129.4934838
B20,453012682,85.5573076,27.866329,357967.681,3083231.016,1263.02,102.2091782,129.2422106
B22,453013133,85.5559952,27.866554,357838.754,3083257.463,1237.39,102.218206,128.5731829
B23,453013786,85.5557994,27.8658454,357818.542,3083179.181,1219.54,102.2334606,128.9542708
B24,453014142,85.5549759,27.8661198,357737.818,3083210.541,1205.19,102.2445486,129.6911921
B26,453005492,85.5539798,27.8659467,357639.515,3083192.521,1190.83,102.2519097,131.1552199
B27,453013414,85.5535018,27.8665679,357593.263,3083261.901,1179.88,102.1770718,129.9642708
B28,453012784,85.55309,27.8667588,357552.971,3083283.528,1167.31,102.1954745,128.5693403
B29,453011826,85.5524383,27.8675357,357489.812,3083370.358,1157.29,102.2138542,128.7202199
B31,453011969,85.5520198,27.8679907,357449.21,3083421.258,1145.91,102.2460995,129.0996875
B33,453012646,85.5511881,27.8674275,357366.579,3083359.826,1116.44,102.2706829,128.4839931
B34,453013511,85.5504638,27.8682978,357296.409,3083457.093,1096.35,102.2919329,129.5980208
B35,453012985,85.5500751,27.8688743,357258.89,3083521.417,1076.13,102.3080208,129.0893866
B36,453013155,85.5490998,27.8687943,357162.758,3083513.696,1086.54,102.358831,130.052419
B37,453012160,85.5484651,27.8685587,357099.96,3083488.337,1089.75,102.3398958,129.8895949
B38,453013656,85.5483223,27.8680862,357085.274,3083436.149,1074.46,102.161794,128.8870486
B39,453013017,85.5470497,27.8681328,356960.042,3083442.797,1073.15,102.1745486,128.8159144
B41,453014228,85.5461066,27.8677914,356866.734,3083406.075,1052.23,102.186956,129.1713773
B42,453013103,85.5462644,27.8691531,356884.057,3083556.758,1029.3,102.2004745,128.0835069
B43,453012158,85.5452316,27.8704284,356784.052,3083699.255,994.3,102.2227431,128.7124421
B46,453013042,85.5436996,27.8697468,356632.315,3083625.532,987.63,102.2387384,129.3264931
B48,453005798,85.5424897,27.8684154,356511.431,3083479.438,981.19,102.2489468,131.2058912
B50,453005770,85.5417732,27.86825,356440.671,3083461.948,977.88,102.2562153,129.6514699
BX1,453013341,85.5576794,27.8643914,358001.758,3083015.917,1276.95,102.1767245,129.9836458
